"File","Lines"
"client\src\app\components\librarian-dashboard\librarian-dashboard.css","3459"
"client\src\app\components\admin-dashboard\admin-dashboard.css","1098"
"client\src\app\components\librarian-dashboard\circulation-desk\circulation-desk.ts","588"
"client\src\app\components\librarian-dashboard\librarian-dashboard.html","554"
"client\src\app\components\librarian-dashboard\book-manager\book-manager.ts","426"
"client\src\app\components\librarian-dashboard\fine-manager\fine-manager.css","415"
"client\src\app\components\login\login.css","364"
"client\src\app\components\librarian-dashboard\member-manager\components\member-form\member-form.html","338"
"client\src\app\components\admin-dashboard\staff-manager\staff-manager.css","329"
"client\src\app\components\librarian-dashboard\circulation-desk\circulation-desk.css","328"
